lambda_um,eta_TE,eta_TM,delta_eta,V_TE,V_TM
1.530000000000000027e+00,5.923504722562475955e-01,2.184810138322572370e-01,3.738694584239903307e-01,9.340219271283551894e-01,5.185893272466106652e-01
1.530999999999999917e+00,5.928945026557450593e-01,2.190750393657290296e-01,3.738194632900160297e-01,9.332683058984050373e-01,5.201318655679886271e-01
1.532000000000000028e+00,5.934288433902191739e-01,2.196987416548555339e-01,3.737301017353636401e-01,9.325243748835407853e-01,5.217513256115589027e-01
1.532999999999999918e+00,5.939520207127825246e-01,2.203496853584397952e-01,3.736023353543427294e-01,9.317924111224983319e-01,5.234413513685407526e-01
1.534000000000000030e+00,5.944632550231313539e-01,2.210312030613088841e-01,3.734320519618224976e-01,9.310737479103142755e-01,5.252105576365139195e-01
1.534999999999999920e+00,5.949618031289702902e-01,2.217438149369219402e-01,3.732179881920483222e-01,9.303696811470760775e-01,5.270602504340431427e-01
1.536000000000000032e+00,5.954463359688306756e-01,2.224880676373476029e-01,3.729582683314830449e-01,9.296823515677133942e-01,5.289917978428048118e-01
1.536999999999999700e+00,5.959160799725382596e-01,2.232647139769304012e-01,3.726513659956078861e-01,9.290131315933572997e-01,5.310070953916222747e-01
1.538000000000000034e+00,5.963703673433363717e-01,2.240760101112520830e-01,3.722943572320842609e-01,9.283632513036859102e-01,5.331119297894254538e-01
1.538999999999999924e+00,5.968077493990616711e-01,2.249215030688602457e-01,3.718862463302013976e-01,9.277350698939492712e-01,5.353050482479791983e-01
1.540000000000000036e+00,5.972277895571691531e-01,2.258025240580854021e-01,3.714252654990837232e-01,9.271295054892964016e-01,5.375898158109388980e-01
1.540999999999999925e+00,5.976290009323694807e-01,2.267208294590338791e-01,3.709081714733356017e-01,9.265489954464851685e-01,5.399706857974602148e-01
1.542000000000000259e+00,5.980106660119929307e-01,2.276765602185163717e-01,3.703341057934765868e-01,9.259948745579541507e-01,5.424479079697301920e-01
1.542999999999999927e+00,5.983723600528749742e-01,2.286705041573675878e-01,3.697018558955074141e-01,9.254680491156127564e-01,5.450233939393808180e-01
1.544000000000000039e+00,5.987122914720217626e-01,2.297034993801623237e-01,3.690087920918594389e-01,9.249714171052616507e-01,5.476991678721366830e-01
1.544999999999999929e+00,5.990301311632839631e-01,2.307762849046751108e-01,3.682538462586088523e-01,9.245057436599520839e-01,5.504769775954134747e-01
1.546000000000000041e+00,5.993241830732963793e-01,2.318907136588791162e-01,3.674334694144172353e-01,9.240737905684880404e-01,5.533614318727420045e-01
1.546999999999999931e+00,5.995944308670635436e-01,2.330470883326354603e-01,3.665473425344281111e-01,9.236758472720065782e-01,5.563531005163373511e-01
1.548000000000000043e+00,5.998393388702661921e-01,2.342457038029508443e-01,3.655936350673153479e-01,9.233144258811916139e-01,5.594525084188333164e-01
1.548999999999999932e+00,6.000589576203418929e-01,2.354862507082765011e-01,3.645727069120653918e-01,9.229896859096972106e-01,5.626585924412415007e-01
1.550000000000000044e+00,6.002517175128658788e-01,2.367710200727531911e-01,3.634806974401126878e-01,9.227041635083865767e-01,5.659769784535446657e-01
1.550999999999999934e+00,6.004166316105485901e-01,2.381011302123500484e-01,3.623155013981985695e-01,9.224595185182432600e-01,5.694102211199238983e-01
1.552000000000000046e+00,6.005535805961402795e-01,2.394747212895031452e-01,3.610788593066371344e-01,9.222561007159467694e-01,5.729531543323825860e-01
1.552999999999999936e+00,6.006611434281509121e-01,2.408939309803047879e-01,3.597672124478461519e-01,9.220961676208806468e-01,5.766108891548543669e-01
1.554000000000000048e+00,6.007394875516708366e-01,2.423587830088762274e-01,3.583807045427945814e-01,9.219795884042658596e-01,5.803830381499797131e-01
1.554999999999999716e+00,6.007867730864161482e-01,2.438708410197214238e-01,3.569159320666946966e-01,9.219091885789989504e-01,5.842731306185274809e-01
1.556000000000000050e+00,6.008036235751176291e-01,2.454289775521576733e-01,3.553746460229599835e-01,9.218840944346622379e-01,5.882777202493303381e-01
1.556999999999999940e+00,6.007884146712227924e-01,2.470345038446536967e-01,3.537539108265690957e-01,9.219067440479012943e-01,5.923995800169361559e-01
1.558000000000000052e+00,6.007411682043891643e-01,2.486857892897879896e-01,3.520553789146011470e-01,9.219770866865123482e-01,5.966338742567049991e-01
1.558999999999999719e+00,6.006614542861963280e-01,2.503870593432217517e-01,3.502743949429745762e-01,9.220957052028558865e-01,6.009907179378367603e-01
1.560000000000000053e+00,6.005483255714587632e-01,2.521352712675786201e-01,3.484130543038801431e-01,9.222639106110939178e-01,6.054615296740235575e-01
1.560999999999999943e+00,6.004015608326361830e-01,2.539309067888896876e-01,3.464706540437464954e-01,9.224818896615694097e-01,6.100466984374350865e-01
1.562000000000000055e+00,6.002210180183571442e-01,2.557751203963004039e-01,3.444458976220567403e-01,9.227496677361457511e-01,6.147482485238678906e-01
1.562999999999999945e+00,6.000056699499626278e-01,2.576663992268009018e-01,3.423392707231617260e-01,9.230685353757787093e-01,6.195613256737424468e-01
1.564000000000000057e+00,5.997552643009700368e-01,2.596065033751159268e-01,3.401487609258541100e-01,9.234385831223103080e-01,6.244893288428592371e-01
1.564999999999999947e+00,5.994700523161410333e-01,2.615935738259321797e-01,3.378764784902088536e-01,9.238591101175155362e-01,6.295263710327801965e-01
