lambda_um,eta,V
1.530000000000000027e+00,6.235912953971587402e-01,8.848378525201563427e-01
1.530999999999999917e+00,6.232556568441254274e-01,8.854267141497020877e-01
1.532000000000000028e+00,6.226651346236296014e-01,8.864597578392062749e-01
1.532999999999999918e+00,6.218911150735162430e-01,8.878079942689843795e-01
1.534000000000000030e+00,6.209994276188433027e-01,8.893529789618824788e-01
1.534999999999999920e+00,6.200654168575764347e-01,8.909618143750276387e-01
1.536000000000000032e+00,6.191556155412464291e-01,8.925195690188764130e-01
1.536999999999999700e+00,6.183381321686439724e-01,8.939113186757463581e-01
1.538000000000000034e+00,6.176587497989882714e-01,8.950622082176046268e-01
1.538999999999999924e+00,6.171645485740413495e-01,8.958961063528643187e-01
1.540000000000000036e+00,6.168730771213839503e-01,8.963866222898917435e-01
1.540999999999999925e+00,6.167967374015137505e-01,8.965149340083210516e-01
1.542000000000000259e+00,6.169211407994831253e-01,8.963058028155794776e-01
1.542999999999999927e+00,6.172209416637477464e-01,8.958010909723811421e-01
1.544000000000000039e+00,6.176519495705569129e-01,8.950737015177306910e-01
1.544999999999999929e+00,6.181563433273525865e-01,8.942197853316881107e-01
1.546000000000000041e+00,6.186692029296070316e-01,8.933485850993245769e-01
1.546999999999999931e+00,6.191190976971118198e-01,8.925819005999588995e-01
1.548000000000000043e+00,6.194320122539433982e-01,8.920473068491964197e-01
1.548999999999999932e+00,6.195423079915368669e-01,8.918586117472755426e-01
1.550000000000000044e+00,6.193882742183400847e-01,8.921220965219176513e-01
1.550999999999999934e+00,6.189293807712634710e-01,8.929054831521565649e-01
1.552000000000000046e+00,6.181367846326547566e-01,8.942529510414386484e-01
1.552999999999999936e+00,6.170056354676811683e-01,8.961636604857554644e-01
1.554000000000000048e+00,6.155461381339519811e-01,8.986074509044942316e-01
1.554999999999999716e+00,6.137932370518744962e-01,9.015101355479333556e-01
1.556000000000000050e+00,6.118003463122286822e-01,9.047668576235143867e-01
1.556999999999999940e+00,6.096273012294511906e-01,9.082647870296711723e-01
1.558000000000000052e+00,6.073517485335686583e-01,9.118675121314007148e-01
1.558999999999999719e+00,6.050538750429121926e-01,9.154422893896264624e-01
1.560000000000000053e+00,6.028199500850384140e-01,9.188558672215546563e-01
1.560999999999999943e+00,6.007281493557978802e-01,9.219964648349168179e-01
1.562000000000000055e+00,5.988538961751022072e-01,9.247641062280285151e-01
1.562999999999999945e+00,5.972668058630639099e-01,9.270731426606755310e-01
1.564000000000000057e+00,5.960191689051429487e-01,9.288658888177078188e-01
1.564999999999999947e+00,5.951541105662701003e-01,9.300972453159723763e-01
