wg_thick_um,coupling_gap_um,wg_width_um,delta_w_um,wg_width_left_um,wg_width_right_um,is_asymmetric,delta_w_reached,delta_w_brackets,delta_w_abs_err,delta_w_rel_err,delta_w_refine_used,eta_te_1550,eta_tm_1550,DeltaEta_1550,Vbar_te,Vbar_tm,Vbar_avg,DeltaEta_avg,sigma_tol,Lc,coupling_trim_factor,Score
0.280000,0.260000,1.060000,-0.323581,0.898210,1.221790,1,1,1,0.074903,0.007803,1,0.476316,0.490758,0.014442,0.995614,0.999069,0.997342,0.013378,0.000000,9.602669,0.000000,0.922572
0.280000,0.300000,1.160000,0.261807,1.290904,1.029096,1,1,1,0.038951,0.003091,1,0.506060,0.513465,0.007405,0.999767,0.998218,0.998993,0.008308,0.000000,12.603086,0.000000,0.919362
0.280000,0.260000,1.140000,0.271934,1.275967,1.004033,1,1,0,0.050703,0.004503,0,0.501881,0.519633,0.017752,0.999927,0.996883,0.998405,0.017424,0.000000,11.262792,0.000000,0.907242
0.280000,0.280000,1.180000,-0.266077,1.046961,1.313039,1,1,0,0.037080,0.002986,0,0.486461,0.506713,0.020252,0.998583,0.999547,0.999065,0.020625,0.000000,12.421263,0.000000,0.895708
0.280000,0.300000,1.180000,0.267162,1.313581,1.046419,1,1,0,0.194408,0.015036,1,0.500389,0.496182,0.004207,0.999900,0.988644,0.994272,0.022028,0.000000,12.940934,0.000000,0.885510
0.280000,0.260000,1.100000,0.274024,1.237012,0.962988,1,1,1,0.002464,0.000257,1,0.491089,0.527872,0.036783,0.999020,0.993593,0.996306,0.035550,0.000000,9.570157,0.000000,0.877355
0.280000,0.320000,1.080000,-0.247651,0.956175,1.203825,1,1,1,0.050311,0.004217,1,0.485776,0.518084,0.032307,0.998469,0.997314,0.997891,0.030840,0.000000,11.933718,0.000000,0.876542
0.280000,0.320000,1.180000,0.224539,1.292270,1.067730,1,1,0,0.143772,0.010601,1,0.475675,0.511937,0.036262,0.994168,0.996706,0.995437,0.026915,0.000000,13.565717,0.000000,0.873778
0.280000,0.300000,1.120000,0.245384,1.242692,0.997308,1,1,0,0.052578,0.004432,0,0.496050,0.531876,0.035826,0.999797,0.993269,0.996533,0.033104,0.000000,11.867033,0.000000,0.870990
0.280000,0.320000,1.120000,-0.235114,1.002443,1.237557,1,1,1,0.076615,0.006306,1,0.488186,0.523100,0.034914,0.998964,0.995612,0.997288,0.034318,0.000000,12.155035,0.000000,0.867876
0.280000,0.260000,1.180000,0.249547,1.304774,1.055226,1,1,1,0.014440,0.001341,1,0.505351,0.520453,0.015102,0.999564,0.977860,0.988712,0.039317,0.000000,10.770629,0.000000,0.856224
0.280000,0.310000,1.200000,-0.413615,0.993192,1.406808,1,1,0,0.181346,0.014578,1,0.502693,0.454549,0.048143,0.999936,0.983677,0.991806,0.048139,0.000000,12.422547,0.000000,0.833415
0.280000,0.280000,1.140000,-0.205833,1.037084,1.242916,1,1,0,0.003877,0.000354,0,0.466494,0.523121,0.056627,0.991018,0.995714,0.993366,0.056621,0.000000,10.950360,0.000000,0.825373
0.280000,0.260000,1.160000,0.313062,1.316531,1.003469,1,1,1,0.002265,0.000222,1,0.520624,0.519454,0.001170,0.995870,0.959094,0.977482,0.053752,0.000000,10.192930,0.000000,0.819012
0.280000,0.310000,1.100000,-0.189180,1.005410,1.194590,1,1,0,0.078321,0.007382,0,0.471900,0.533637,0.061737,0.993720,0.991145,0.992433,0.061076,0.000000,10.612181,0.000000,0.817220
0.280000,0.300000,1.140000,0.248444,1.264222,1.015778,1,1,1,1.210113,0.087627,1,0.452498,0.509737,0.057240,0.979735,0.998852,0.989293,0.055626,0.000000,13.716956,0.000000,0.809456
0.280000,0.280000,1.120000,-0.198540,1.020730,1.219270,1,1,0,0.017060,0.001592,0,0.461170,0.530246,0.069076,0.988030,0.992746,0.990388,0.068775,0.000000,10.718622,0.000000,0.799244
0.280000,0.320000,1.140000,0.215459,1.247729,1.032271,1,1,0,0.076515,0.006837,0,0.472424,0.543831,0.071407,0.993755,0.985627,0.989691,0.069673,0.000000,11.192696,0.000000,0.794381
0.280000,0.280000,1.160000,-0.242199,1.038900,1.281100,1,1,0,0.079038,0.005887,0,0.477447,0.545162,0.067715,0.996233,0.982970,0.989601,0.067351,0.000000,13.431337,0.000000,0.787742
0.280000,0.310000,1.050000,-0.333249,0.883375,1.216625,1,1,0,0.336495,0.028060,1,0.524513,0.452976,0.071538,0.993577,0.982826,0.988202,0.073765,0.000000,11.960010,0.000000,0.780871
0.280000,0.320000,1.160000,0.268469,1.294234,1.025766,1,1,0,0.059518,0.005309,0,0.538038,0.515838,0.022200,0.988388,0.955169,0.971778,0.069364,0.000000,11.215117,0.000000,0.776974
0.280000,0.300000,1.080000,-0.212156,0.973922,1.186078,1,1,0,0.075093,0.006599,0,0.468314,0.548764,0.080450,0.992395,0.981493,0.986944,0.078623,0.000000,11.379927,0.000000,0.772798
0.280000,0.280000,1.080000,-0.224005,0.967997,1.192003,1,1,0,0.100590,0.009048,0,0.461386,0.549519,0.088133,0.988598,0.980574,0.984586,0.087077,0.000000,11.119126,0.000000,0.754836
0.280000,0.320000,1.100000,-0.274899,0.962550,1.237450,1,1,0,0.001466,0.000118,0,0.493039,0.580361,0.087322,0.999452,0.952912,0.976182,0.081794,0.000000,12.401057,0.000000,0.750588
0.280000,0.280000,1.100000,-0.198540,1.000730,1.199270,1,1,1,0.082878,0.007395,1,0.456816,0.559317,0.102502,0.985535,0.972381,0.978958,0.101655,0.000000,11.212182,0.000000,0.719587
0.280000,0.310000,1.150000,-0.189180,1.055410,1.244590,1,1,0,0.948580,0.072489,1,0.468396,0.569709,0.101314,0.992503,0.961689,0.977096,0.100274,0.000000,13.139998,0.000000,0.710848
0.280000,0.300000,1.060000,0.375668,1.247834,0.872166,1,1,0,1.054081,0.097565,1,0.551060,0.453006,0.098054,0.979143,0.975070,0.977106,0.106464,0.000000,11.441431,0.000000,0.706971
0.330000,0.260000,1.000000,-0.413615,0.793192,1.206808,1,1,0,1.299606,0.163090,1,0.568814,0.451543,0.117271,0.957596,0.982153,0.969874,0.119789,0.000000,9.312763,0.000000,0.683732
0.280000,0.320000,1.200000,-0.269147,1.065427,1.334573,1,1,1,0.039178,0.002963,1,0.493656,0.604479,0.110823,0.999711,0.920596,0.960154,0.106631,0.000000,13.227449,0.000000,0.680755
0.280000,0.260000,1.200000,0.309734,1.354867,1.045133,1,1,1,0.022779,0.001923,1,0.519832,0.409778,0.110054,0.996953,0.906817,0.951885,0.111748,0.000000,11.846981,0.000000,0.669153
0.280000,0.260000,1.120000,-0.191249,1.024375,1.215625,1,1,0,0.021284,0.001769,0,0.445495,0.574301,0.128807,0.976907,0.955966,0.966436,0.128975,0.000000,12.034091,0.000000,0.648316
0.280000,0.300000,1.200000,0.358878,1.379439,1.020561,1,1,0,0.071463,0.005237,0,0.530847,0.386707,0.144140,0.992777,0.904399,0.948588,0.140633,0.000000,13.648697,0.000000,0.599079
0.280000,0.310000,1.000000,-0.183474,0.908263,1.091737,1,1,0,0.015730,0.001669,0,0.437607,0.598995,0.161388,0.970215,0.926377,0.948296,0.158853,0.000000,9.427528,0.000000,0.583451
0.280000,0.260000,1.150000,0.388332,1.344166,0.955834,1,1,0,0.044095,0.003727,0,0.535643,0.382510,0.153133,0.990017,0.860361,0.925189,0.156280,0.000000,11.831468,0.000000,0.553472
0.280000,0.280000,1.060000,-0.200000,0.960000,1.160000,1,1,0,0.040409,0.003738,0,0.415136,0.609133,0.193996,0.945498,0.909867,0.927682,0.192085,0.000000,10.811616,0.000000,0.489455
0.330000,0.260000,1.050000,0.285921,1.192960,0.907040,1,1,0,0.074746,0.009148,0,0.510990,0.319269,0.191721,0.999213,0.767522,0.883368,0.191048,0.000000,8.172578,0.000000,0.460409
0.280000,0.280000,1.200000,0.372977,1.386488,1.013512,1,1,0,0.035974,0.003017,0,0.533517,0.322890,0.210628,0.991101,0.797141,0.894121,0.201330,0.000000,11.922421,0.000000,0.431849
0.280000,0.260000,1.080000,-0.224436,0.967782,1.192218,1,1,1,0.028548,0.002722,1,0.443573,0.663723,0.220150,0.975434,0.810987,0.893210,0.217131,0.000000,10.488046,0.000000,0.406508
0.280000,0.300000,1.100000,0.223514,1.211757,0.988243,1,1,0,0.005458,0.000425,0,0.323631,0.599350,0.275719,0.772100,0.926654,0.849377,0.276448,0.000000,12.835259,0.000000,0.232305
0.280000,0.260000,1.050000,0.188515,1.144258,0.955742,1,1,1,0.022713,0.002246,0,0.453356,0.739445,0.286090,0.982041,0.628848,0.805445,0.286201,0.000000,10.114231,0.000000,0.182471
0.280000,0.260000,1.000000,0.129791,1.064895,0.935105,1,1,0,0.087653,0.008346,0,0.712338,0.412106,0.300232,0.696853,0.939218,0.818035,0.299842,0.000000,10.507884,0.000000,0.165811
0.280000,0.320000,1.060000,0.031070,1.075535,1.044465,1,1,0,0.075139,0.005563,0,0.791989,0.342255,0.449735,0.500123,0.824274,0.662199,0.443660,0.000000,13.511578,0.000000,-0.292679
