lambda_um,eta_TE,eta_TM,delta_eta,V_TE,V_TM,delta_phi_TE,delta_phi_TM,delta_delta_phi
1.530000000000000027e+00,3.514154558964102115e-01,6.101987371867577670e-01,2.587832812903475554e-01,8.377125814581715124e-01,9.073503668380767939e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
1.530999999999999917e+00,3.520993602709138748e-01,6.109037214269854577e-01,2.588043611560715829e-01,8.390831707409001083e-01,9.062169079544317718e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
1.532000000000000028e+00,3.527576707248488708e-01,6.116054548339945329e-01,2.588477841091456622e-01,8.403984149852193886e-01,9.050828473654656259e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
1.532999999999999918e+00,3.533903883896271636e-01,6.123045466752088384e-01,2.589141582855816748e-01,8.416587602458537321e-01,9.039472967119929203e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
1.534000000000000030e+00,3.539973719685114428e-01,6.130011612775148055e-01,2.590037893090033627e-01,8.428643566927460640e-01,9.028100750368897032e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
1.534999999999999920e+00,3.545785614620252657e-01,6.136960914169807824e-01,2.591175299549555167e-01,8.440155045331790840e-01,9.016699617967554037e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
1.536000000000000032e+00,3.551341314039884178e-01,6.143898078116427630e-01,2.592556764076543452e-01,8.451129534379517860e-01,9.005262426057947245e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
1.536999999999999700e+00,3.556643968375826081e-01,6.150832083965420694e-01,2.594188115589594612e-01,8.461577111088121050e-01,8.993774781798469231e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
1.538000000000000034e+00,3.561695080939747959e-01,6.157769061738317395e-01,2.596073980798569436e-01,8.471504407525437541e-01,8.982226758626834506e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
1.538999999999999924e+00,3.566494119638279892e-01,6.164713496483513744e-01,2.598219376845233852e-01,8.480913890990322557e-01,8.970610993181598047e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
1.540000000000000036e+00,3.571043515178107253e-01,6.171673395038366206e-01,2.600629879860258953e-01,8.489813674794883802e-01,8.958914048328214808e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
1.540999999999999925e+00,3.575345046581583919e-01,6.178647340373978336e-01,2.603302293792394417e-01,8.498210404635953008e-01,8.947138185263098231e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
1.542000000000000259e+00,3.579398231698776578e-01,6.185627387834785607e-01,2.606229156136009029e-01,8.506106141321519987e-01,8.935296812549357037e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
1.542999999999999927e+00,3.583206379499117578e-01,6.192625431025948757e-01,2.609419051526831179e-01,8.513510159347804640e-01,8.923369702519726721e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
1.544000000000000039e+00,3.586766641611736084e-01,6.199621430364962160e-01,2.612854788753226076e-01,8.520419587964328523e-01,8.911391057409234762e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
1.544999999999999929e+00,3.590080204763624883e-01,6.206605926932000639e-01,2.616525722168375756e-01,8.526839245214387075e-01,8.899377469287346187e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
1.546000000000000041e+00,3.593150988688652570e-01,6.213582134831265869e-01,2.620431146142613299e-01,8.532779052272875253e-01,8.887323878278129419e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
1.546999999999999931e+00,3.595979453359239852e-01,6.220536343019776870e-01,2.624556889660537018e-01,8.538242043996315811e-01,8.875254562727672436e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
1.548000000000000043e+00,3.598570124029736306e-01,6.227465636484559308e-01,2.628895512454823002e-01,8.543238924280855962e-01,8.863175358208675858e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
1.548999999999999932e+00,3.600921569294046609e-01,6.234371444647439642e-01,2.633449875353393033e-01,8.547768724003252938e-01,8.851084560414886893e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
