lambda_um,eta,V,delta_phi
1.530000000000000027e+00,4.718083419111769872e-01,9.936619923365249685e-01,-2.750205071028941628e+00
1.530999999999999917e+00,4.716570646457231009e-01,9.935940084195026278e-01,-2.750205071028941628e+00
1.532000000000000028e+00,4.715101783737613017e-01,9.935276541438359255e-01,-2.750205071028941628e+00
1.532999999999999918e+00,4.713681446692485899e-01,9.934631700145873934e-01,-2.750205071028941628e+00
1.534000000000000030e+00,4.712302845867464285e-01,9.934002780679584976e-01,-2.750205071028941628e+00
1.534999999999999920e+00,4.710969379133944090e-01,9.933391615275648512e-01,-2.750205071028941628e+00
1.536000000000000032e+00,4.709678804715786704e-01,9.932797453274775368e-01,-2.750205071028941628e+00
1.536999999999999700e+00,4.708432676115469895e-01,9.932221275368028346e-01,-2.750205071028941628e+00
1.538000000000000034e+00,4.707228199707733651e-01,9.931662042777021915e-01,-2.750205071028941628e+00
1.538999999999999924e+00,4.706066920491174255e-01,9.931120713415386714e-01,-2.750205071028941628e+00
1.540000000000000036e+00,4.704946423128276711e-01,9.930596391145460888e-01,-2.750205071028941628e+00
1.540999999999999925e+00,4.703865853682869802e-01,9.930088889311875500e-01,-2.750205071028941628e+00
1.542000000000000259e+00,4.702826923113821445e-01,9.929599218793547788e-01,-2.750205071028941628e+00
1.542999999999999927e+00,4.701826833895244029e-01,9.929126257955250834e-01,-2.750205071028941628e+00
1.544000000000000039e+00,4.700865131171931832e-01,9.928669973396320181e-01,-2.750205071028941628e+00
1.544999999999999929e+00,4.699943156219707485e-01,9.928231178079345298e-01,-2.750205071028941628e+00
1.546000000000000041e+00,4.699057161825791473e-01,9.927808252940950595e-01,-2.750205071028941628e+00
1.546999999999999931e+00,4.698209064900280563e-01,9.927402266774946193e-01,-2.750205071028941628e+00
1.548000000000000043e+00,4.697396508368180124e-01,9.927012237767434133e-01,-2.750205071028941628e+00
1.548999999999999932e+00,4.696619180110109260e-01,9.926638151251453435e-01,-2.750205071028941628e+00
1.550000000000000044e+00,4.695876904673080832e-01,9.926280051161190388e-01,-2.750205071028941628e+00
1.550999999999999934e+00,4.695168245083155556e-01,9.925937364067163315e-01,-2.750205071028941628e+00
1.552000000000000046e+00,4.694492302039938170e-01,9.925609765552674268e-01,-2.750205071028941628e+00
1.552999999999999936e+00,4.693849711306198325e-01,9.925297668588713984e-01,-2.750205071028941628e+00
1.554000000000000048e+00,4.693236679877549333e-01,9.924999326082405426e-01,-2.750205071028941628e+00
1.554999999999999716e+00,4.692655216280878228e-01,9.924715803402456293e-01,-2.750205071028941628e+00
1.556000000000000050e+00,4.692103822811558578e-01,9.924446454471858026e-01,-2.750205071028941628e+00
1.556999999999999940e+00,4.691581206857826647e-01,9.924190724087922355e-01,-2.750205071028941628e+00
1.558000000000000052e+00,4.691087763971493740e-01,9.923948876865603674e-01,-2.750205071028941628e+00
1.558999999999999719e+00,4.690620164435649886e-01,9.923719344687047528e-01,-2.750205071028941628e+00
1.560000000000000053e+00,4.690181630527958667e-01,9.923503769389101503e-01,-2.750205071028941628e+00
1.560999999999999943e+00,4.689768102777501224e-01,9.923300211214066691e-01,-2.750205071028941628e+00
1.562000000000000055e+00,4.689382542848351543e-01,9.923110179302463418e-01,-2.750205071028941628e+00
1.562999999999999945e+00,4.689017418747021271e-01,9.922930005404142495e-01,-2.750205071028941628e+00
1.564000000000000057e+00,4.688678660403225451e-01,9.922762655563103218e-01,-2.750205071028941628e+00
1.564999999999999947e+00,4.688359330396056901e-01,9.922604739259907047e-01,-2.750205071028941628e+00
