lambda_um,eta,V,delta_phi
1.530000000000000027e+00,5.430984406800696274e-01,9.852497879230375233e-01,-2.062111746650275190e+00
1.530999999999999917e+00,5.427257238012079821e-01,9.855019641367863681e-01,-2.062111746650275190e+00
1.532000000000000028e+00,5.423589766264461653e-01,9.857480250927982413e-01,-2.062111746650275190e+00
1.532999999999999918e+00,5.419986723845021670e-01,9.859877562847029209e-01,-2.062111746650275190e+00
1.534000000000000030e+00,5.416450610239488261e-01,9.862210987444893773e-01,-2.062111746650275190e+00
1.534999999999999920e+00,5.412982929956733358e-01,9.864480619429890629e-01,-2.062111746650275190e+00
1.536000000000000032e+00,5.409583433688303078e-01,9.866687700012976014e-01,-2.062111746650275190e+00
1.536999999999999700e+00,5.406257411925027290e-01,9.868829891471898597e-01,-2.062111746650275190e+00
1.538000000000000034e+00,5.403000182934534212e-01,9.870911289540207356e-01,-2.062111746650275190e+00
1.538999999999999924e+00,5.399819965384815568e-01,9.872927726859546116e-01,-2.062111746650275190e+00
1.540000000000000036e+00,5.396713068327729790e-01,9.874882638248912992e-01,-2.062111746650275190e+00
1.540999999999999925e+00,5.393681346088079476e-01,9.876775913606140600e-01,-2.062111746650275190e+00
1.542000000000000259e+00,5.390731355076240350e-01,9.878604549084074593e-01,-2.062111746650275190e+00
1.542999999999999927e+00,5.387858978693248480e-01,9.880372176607542523e-01,-2.062111746650275190e+00
1.544000000000000039e+00,5.385067143972184223e-01,9.882078038901765948e-01,-2.062111746650275190e+00
1.544999999999999929e+00,5.382355836198653432e-01,9.883723179792587299e-01,-2.062111746650275190e+00
1.546000000000000041e+00,5.379726516699093741e-01,9.885307727383012555e-01,-2.062111746650275190e+00
1.546999999999999931e+00,5.377180888785805246e-01,9.886831659381123405e-01,-2.062111746650275190e+00
1.548000000000000043e+00,5.374719423752968295e-01,9.888295679675995764e-01,-2.062111746650275190e+00
1.548999999999999932e+00,5.372341474745672141e-01,9.889701126324188518e-01,-2.062111746650275190e+00
1.550000000000000044e+00,5.370049162423818911e-01,9.891047675399854411e-01,-2.062111746650275190e+00
1.550999999999999934e+00,5.367842185328146609e-01,9.892336410606944463e-01,-2.062111746650275190e+00
1.552000000000000046e+00,5.365722985417143986e-01,9.893566790081087525e-01,-2.062111746650275190e+00
1.552999999999999936e+00,5.363689941580321863e-01,9.894740609073182647e-01,-2.062111746650275190e+00
1.554000000000000048e+00,5.361745069540999609e-01,9.895857524999093213e-01,-2.062111746650275190e+00
1.554999999999999716e+00,5.359886068783280555e-01,9.896919644384378767e-01,-2.062111746650275190e+00
1.556000000000000050e+00,5.358115481533207713e-01,9.897926266281532603e-01,-2.062111746650275190e+00
1.556999999999999940e+00,5.356434276734745037e-01,9.898877570648541013e-01,-2.062111746650275190e+00
1.558000000000000052e+00,5.354839763930271390e-01,9.899775767913157054e-01,-2.062111746650275190e+00
1.558999999999999719e+00,5.353334677599596025e-01,9.900619970045853036e-01,-2.062111746650275190e+00
1.560000000000000053e+00,5.351918968336460969e-01,9.901410830538156516e-01,-2.062111746650275190e+00
1.560999999999999943e+00,5.350590916138265873e-01,9.902149893499415656e-01,-2.062111746650275190e+00
1.562000000000000055e+00,5.349353437912878206e-01,9.902836086107499325e-01,-2.062111746650275190e+00
1.562999999999999945e+00,5.348201248431703192e-01,9.903472846423252429e-01,-2.062111746650275190e+00
1.564000000000000057e+00,5.347141642389392491e-01,9.904056619282181062e-01,-2.062111746650275190e+00
1.564999999999999947e+00,5.346165263108312304e-01,9.904592994836864950e-01,-2.062111746650275190e+00
