lambda_um,eta,V
1.530000000000000027e+00,6.115590612828567529e-01,9.051580023205544334e-01
1.530999999999999917e+00,6.137751722516422426e-01,9.015398644733868538e-01
1.532000000000000028e+00,6.159486743165203393e-01,8.979358784117564829e-01
1.532999999999999918e+00,6.180305192965210859e-01,8.944330696678937098e-01
1.534000000000000030e+00,6.199804714758154756e-01,8.911076498061837325e-01
1.534999999999999920e+00,6.217725138160021814e-01,8.880139970237010960e-01
1.536000000000000032e+00,6.233855295565173815e-01,8.851990050609186422e-01
1.536999999999999700e+00,6.248102194753444305e-01,8.826889660867459630e-01
1.538000000000000034e+00,6.260630508514787307e-01,8.804635024917072395e-01
1.538999999999999924e+00,6.271594077357590669e-01,8.785021269082249340e-01
1.540000000000000036e+00,6.281341409958520750e-01,8.767475469293606327e-01
1.540999999999999925e+00,6.290303014779364821e-01,8.751255019190586903e-01
1.542000000000000259e+00,6.298877295022849987e-01,8.735656290078974706e-01
1.542999999999999927e+00,6.307578292755365856e-01,8.719748190770183482e-01
1.544000000000000039e+00,6.316908820184832241e-01,8.702601407643322240e-01
1.544999999999999929e+00,6.327274269494120862e-01,8.683447002289594874e-01
1.546000000000000041e+00,6.339056274536450930e-01,8.661540769923161687e-01
1.546999999999999931e+00,6.352524984124664487e-01,8.636325056799917244e-01
1.548000000000000043e+00,6.367838945877830614e-01,8.607432146958029495e-01
1.548999999999999932e+00,6.385044774843073867e-01,8.574690426740618765e-01
1.550000000000000044e+00,6.404024347540275830e-01,8.538234708029545095e-01
1.550999999999999934e+00,6.424504068821343949e-01,8.498504614974548010e-01
1.552000000000000046e+00,6.446139384536011541e-01,8.456096500668059956e-01
1.552999999999999936e+00,6.468476368625205586e-01,8.411850590556716467e-01
1.554000000000000048e+00,6.491001656118424723e-01,8.366764191564338704e-01
1.554999999999999716e+00,6.513072655083685936e-01,8.322139882762664698e-01
1.556000000000000050e+00,6.534167254048491857e-01,8.279083402423815796e-01
1.556999999999999940e+00,6.553712871412022967e-01,8.238840299861185379e-01
1.558000000000000052e+00,6.571277197604933340e-01,8.202395472479709904e-01
1.558999999999999719e+00,6.586485238736228265e-01,8.170628105945445530e-01
1.560000000000000053e+00,6.599099325479027556e-01,8.144132058964348442e-01
1.560999999999999943e+00,6.609066516488643073e-01,8.123102588633829280e-01
1.562000000000000055e+00,6.616334757815304224e-01,8.107716107331160993e-01
1.562999999999999945e+00,6.621136155427161940e-01,8.097528164924139293e-01
1.564000000000000057e+00,6.623630496589837380e-01,8.092228106766806706e-01
1.564999999999999947e+00,6.624178434564200746e-01,8.091063154819405634e-01
