lambda_um,eta_TE,eta_TM,delta_eta,V_TE,V_TM
1.530000000000000027e+00,4.815086351240300266e-01,5.657486098598658586e-01,8.423997473583583195e-02,9.972682916186599300e-01,9.660047912037678097e-01
1.530999999999999917e+00,4.791771069247727777e-01,5.630748582332356644e-01,8.389775130846288675e-02,9.965372626647815979e-01,9.686710590353529993e-01
1.532000000000000028e+00,4.768239762281550886e-01,5.607470671010853502e-01,8.392309087293026160e-02,9.957121877943283517e-01,9.709077759270197117e-01
1.532999999999999918e+00,4.744512625135171024e-01,5.587867142500506645e-01,8.433545173653356208e-02,9.947916947375483598e-01,9.727299457192184473e-01
1.534000000000000030e+00,4.720590786726538424e-01,5.571949914574914065e-01,8.513591278483756408e-02,9.937738821215282847e-01,9.741678786863349204e-01
1.534999999999999920e+00,4.696482537532251644e-01,5.559512615580884942e-01,8.630300780486332979e-02,9.926572294760801496e-01,9.752653818495836680e-01
1.536000000000000032e+00,4.672196426613471343e-01,5.550141442378663248e-01,8.779450157651919051e-02,9.914403764186414669e-01,9.760771666557195303e-01
1.536999999999999700e+00,4.647738844997050256e-01,5.543249469260557172e-01,8.955106242635069158e-02,9.901219959337355103e-01,9.766658560214820373e-01
1.538000000000000034e+00,4.623110115952597243e-01,5.538088924574728900e-01,9.149788086221316563e-02,9.887005230374871223e-01,9.771020197053336132e-01
1.538999999999999924e+00,4.598328021873141491e-01,5.533834997345612461e-01,9.355069754724709696e-02,9.871755339271724994e-01,9.774585697441213750e-01
1.540000000000000036e+00,4.573400668812986902e-01,5.529541167681997216e-01,9.561404988690103135e-02,9.855462565804647967e-01,9.778157232747040073e-01
1.540999999999999925e+00,4.548332978824642936e-01,5.524228284688255108e-01,9.758953058636121725e-02,9.838118494729539698e-01,9.782538237161837458e-01
1.542000000000000259e+00,4.523131805557603080e-01,5.516909764957173001e-01,9.937779593995699212e-02,9.819717255562905311e-01,9.788503870214561031e-01
1.542999999999999927e+00,4.497816211220262983e-01,5.506678177153536691e-01,1.008861965933273708e-01,9.800263999188189024e-01,9.796709353395861575e-01
1.544000000000000039e+00,4.472382185355103790e-01,5.492726814817466829e-01,1.020344629462363040e-01,9.779748107131875923e-01,9.807644231902772347e-01
1.544999999999999929e+00,4.446857851110961879e-01,5.474430226760307328e-01,1.027572375649345449e-01,9.758186481390536127e-01,9.821539512251894477e-01
1.546000000000000041e+00,4.421241073565251867e-01,5.451397853424556628e-01,1.030156779859304761e-01,9.735573397491501524e-01,9.838309822107637048e-01
1.546999999999999931e+00,4.395539096687350877e-01,5.423545241579235121e-01,1.028006144891884244e-01,9.711911996035467176e-01,9.857509997190886386e-01
1.548000000000000043e+00,4.369771845381502096e-01,5.391143544701416657e-01,1.021371699319914561e-01,9.687219282486648764e-01,9.878349848144328815e-01
1.548999999999999932e+00,4.343952748935268060e-01,5.354789758516844689e-01,1.010837009581576629e-01,9.661509036780661086e-01,9.899803872400765314e-01
1.550000000000000044e+00,4.318085593446832071e-01,5.315427550490596786e-01,9.973419570437647153e-02,9.634787256759063112e-01,9.920719885851495556e-01
1.550999999999999934e+00,4.292183996022974624e-01,5.274234842270326684e-01,9.820508462473520606e-02,9.607071544792590290e-01,9.940016642361507726e-01
1.552000000000000046e+00,4.266261325017301487e-01,5.232591938353710059e-01,9.663306133364085726e-02,9.578381555548621806e-01,9.956814244434810668e-01
1.552999999999999936e+00,4.240326980549113389e-01,5.191928959581636471e-01,9.516019790325230820e-02,9.548734589445344589e-01,9.970573977911088015e-01
1.554000000000000048e+00,4.214395283475168563e-01,5.153636249692308269e-01,9.392409662171397056e-02,9.518155474870129140e-01,9.981134534315830864e-01
1.554999999999999716e+00,4.188474043574063055e-01,5.118965529460999253e-01,9.304914858869361982e-02,9.486663313205033754e-01,9.988684168266918073e-01
1.556000000000000050e+00,4.162592614796692403e-01,5.088957991778294554e-01,9.263653769816021510e-02,9.454305842716402841e-01,9.993671183888620524e-01
1.556999999999999940e+00,4.136738489532686414e-01,5.064423936025256312e-01,9.276854464925698984e-02,9.421080555652925348e-01,9.996680196319920331e-01
1.558000000000000052e+00,4.110940121285013293e-01,5.045950733962254464e-01,9.350106126772411708e-02,9.387038102471730872e-01,9.998310966692386392e-01
1.558999999999999719e+00,4.085202816148763572e-01,5.033923225426918391e-01,9.487204092781548193e-02,9.352201400972920409e-01,9.999079414197169502e-01
1.560000000000000053e+00,4.059550376595429388e-01,5.028588120831356534e-01,9.690377442359271454e-02,9.316620095754971631e-01,9.999346196851490731e-01
1.560999999999999943e+00,4.033990406004319684e-01,5.030122886064659626e-01,9.961324800603399421e-02,9.280323714779017408e-01,9.999274115734463342e-01
1.562000000000000055e+00,4.008517776880481387e-01,5.038686061482846590e-01,1.030168284602365203e-01,9.243324020353078652e-01,9.998802782588324112e-01
1.562999999999999945e+00,3.983169567324701399e-01,5.054490880553867971e-01,1.071321313229166572e-01,9.205695361641147434e-01,9.997624877243077579e-01
1.564000000000000057e+00,3.957947887500523620e-01,5.077859246223714873e-01,1.119911358723191253e-01,9.167463077351964973e-01,9.995151525892049804e-01
1.564999999999999947e+00,3.932872905180574974e-01,5.109230647407000392e-01,1.176357742226425418e-01,9.128680758999666578e-01,9.990459485776234105e-01
