lambda_um,eta,V
1.530000000000000027e+00,5.657486098598658586e-01,9.660047912037678097e-01
1.530999999999999917e+00,5.630748582332356644e-01,9.686710590353529993e-01
1.532000000000000028e+00,5.607470671010853502e-01,9.709077759270197117e-01
1.532999999999999918e+00,5.587867142500506645e-01,9.727299457192184473e-01
1.534000000000000030e+00,5.571949914574914065e-01,9.741678786863349204e-01
1.534999999999999920e+00,5.559512615580884942e-01,9.752653818495836680e-01
1.536000000000000032e+00,5.550141442378663248e-01,9.760771666557195303e-01
1.536999999999999700e+00,5.543249469260557172e-01,9.766658560214820373e-01
1.538000000000000034e+00,5.538088924574728900e-01,9.771020197053336132e-01
1.538999999999999924e+00,5.533834997345612461e-01,9.774585697441213750e-01
1.540000000000000036e+00,5.529541167681997216e-01,9.778157232747040073e-01
1.540999999999999925e+00,5.524228284688255108e-01,9.782538237161837458e-01
1.542000000000000259e+00,5.516909764957173001e-01,9.788503870214561031e-01
1.542999999999999927e+00,5.506678177153536691e-01,9.796709353395861575e-01
1.544000000000000039e+00,5.492726814817466829e-01,9.807644231902772347e-01
1.544999999999999929e+00,5.474430226760307328e-01,9.821539512251894477e-01
1.546000000000000041e+00,5.451397853424556628e-01,9.838309822107637048e-01
1.546999999999999931e+00,5.423545241579235121e-01,9.857509997190886386e-01
1.548000000000000043e+00,5.391143544701416657e-01,9.878349848144328815e-01
1.548999999999999932e+00,5.354789758516844689e-01,9.899803872400765314e-01
1.550000000000000044e+00,5.315427550490596786e-01,9.920719885851495556e-01
1.550999999999999934e+00,5.274234842270326684e-01,9.940016642361507726e-01
1.552000000000000046e+00,5.232591938353710059e-01,9.956814244434810668e-01
1.552999999999999936e+00,5.191928959581636471e-01,9.970573977911088015e-01
1.554000000000000048e+00,5.153636249692308269e-01,9.981134534315830864e-01
1.554999999999999716e+00,5.118965529460999253e-01,9.988684168266918073e-01
1.556000000000000050e+00,5.088957991778294554e-01,9.993671183888620524e-01
1.556999999999999940e+00,5.064423936025256312e-01,9.996680196319920331e-01
1.558000000000000052e+00,5.045950733962254464e-01,9.998310966692386392e-01
1.558999999999999719e+00,5.033923225426918391e-01,9.999079414197169502e-01
1.560000000000000053e+00,5.028588120831356534e-01,9.999346196851490731e-01
1.560999999999999943e+00,5.030122886064659626e-01,9.999274115734463342e-01
1.562000000000000055e+00,5.038686061482846590e-01,9.998802782588324112e-01
1.562999999999999945e+00,5.054490880553867971e-01,9.997624877243077579e-01
1.564000000000000057e+00,5.077859246223714873e-01,9.995151525892049804e-01
1.564999999999999947e+00,5.109230647407000392e-01,9.990459485776234105e-01
