lambda_um,eta_TE,eta_TM,delta_eta,V_TE,V_TM
1.530000000000000027e+00,4.399109769432653638e-01,5.433420711098772005e-01,1.034310941666118366e-01,9.715257217110057075e-01,9.850838013875352628e-01
1.530999999999999917e+00,4.368564519750891550e-01,5.423535562315567882e-01,1.054971042564676331e-01,9.686038579363174250e-01,9.857516463357296477e-01
1.532000000000000028e+00,4.337852912866610455e-01,5.414653743451969259e-01,1.076800830585358804e-01,9.655294281972618409e-01,9.863389359354254315e-01
1.532999999999999918e+00,4.307012533376187724e-01,5.407026704174574538e-01,1.100014170798386814e-01,9.623055523284138602e-01,9.868335925049166457e-01
1.534000000000000030e+00,4.276043977606111546e-01,5.400818601894428195e-01,1.124774624288316649e-01,9.589319843337914540e-01,9.872296211603095450e-01
1.534999999999999920e+00,4.244956932279791428e-01,5.396090483447665287e-01,1.151133551167873859e-01,9.554096185541933739e-01,9.875272590847417042e-01
1.536000000000000032e+00,4.213767354889078054e-01,5.392798911560640063e-01,1.179031556671562009e-01,9.517403490746936257e-01,9.877324322108143040e-01
1.536999999999999700e+00,4.182503672493318447e-01,5.390801873876528427e-01,1.208298201383209980e-01,9.479279703684769798e-01,9.878560992561898901e-01
1.538000000000000034e+00,4.151141424230392896e-01,5.389856176037550739e-01,1.238714751807157843e-01,9.439700491001757898e-01,9.879144472418177614e-01
1.538999999999999924e+00,4.119735848567689929e-01,5.389638237228659978e-01,1.269902388660970050e-01,9.398743716400119741e-01,9.879278741459734947e-01
1.540000000000000036e+00,4.088268416068085997e-01,5.389742885260594418e-01,1.301474469192508421e-01,9.356396351756011143e-01,9.879214278419859996e-01
1.540999999999999925e+00,4.056779227301858248e-01,5.389723009610390969e-01,1.332943782308532721e-01,9.312725435876717528e-01,9.879226523091849677e-01
1.542000000000000259e+00,4.025268000440136995e-01,5.389088953508839319e-01,1.363820953068702324e-01,9.267746651845415462e-01,9.879616822405400400e-01
1.542999999999999927e+00,3.993756599236822913e-01,5.387362284357321007e-01,1.393605685120498094e-01,9.221509060610749708e-01,9.880676545700001201e-01
1.544000000000000039e+00,3.962243504754507373e-01,5.384080061045918297e-01,1.421836556291410925e-01,9.174029925613504943e-01,9.882678285574406640e-01
1.544999999999999929e+00,3.930774765959968442e-01,5.378836698739980493e-01,1.448061932780012051e-01,9.125401069368870299e-01,9.885841552780628705e-01
1.546000000000000041e+00,3.899349218978687692e-01,5.371314299753439103e-01,1.471965080774751411e-01,9.075645973702717306e-01,9.890305514694280875e-01
1.546999999999999931e+00,3.867970189568515349e-01,5.361302011825503921e-01,1.493331822256988572e-01,9.024795459489061145e-01,9.896111147474823122e-01
1.548000000000000043e+00,3.836667388219884289e-01,5.348737347407027665e-01,1.512069959187143375e-01,8.972925159690849917e-01,9.903176826630029073e-01
1.548999999999999932e+00,3.805453739243859212e-01,5.333693103851798734e-01,1.528239364607939521e-01,8.920086300147406222e-01,9.911314140629081670e-01
1.550000000000000044e+00,3.774350659267027841e-01,5.316407420382016635e-01,1.542056761114988794e-01,8.866346656393275794e-01,9.920228524024889971e-01
1.550999999999999934e+00,3.743371258983622663e-01,5.297247862674122620e-01,1.553876603690499958e-01,8.811761982556818307e-01,9.929563905393845591e-01
1.552000000000000046e+00,3.712522305674366696e-01,5.276710408713410905e-01,1.564188103039044209e-01,8.756378003142811783e-01,9.938932115188370275e-01
1.552999999999999936e+00,3.681823137662930123e-01,5.255374797600650405e-01,1.573551659937720282e-01,8.700264141399486340e-01,9.947962717335299132e-01
1.554000000000000048e+00,3.651293135188228844e-01,5.233864126033498376e-01,1.582570990845269532e-01,8.643491916265644281e-01,9.956341567872423193e-01
1.554999999999999716e+00,3.620958392685638683e-01,5.212800085887933088e-01,1.591841693202294405e-01,8.586147482681216747e-01,9.963838400253626215e-01
1.556000000000000050e+00,3.590811153429645519e-01,5.192756200193346938e-01,1.601945046763701419e-01,8.528253945737384045e-01,9.970320147969566893e-01
1.556999999999999940e+00,3.560882983158356607e-01,5.174225234525809958e-01,1.613342251367453350e-01,8.469909964826893845e-01,9.975745902897524831e-01
1.558000000000000052e+00,3.531188223807751880e-01,5.157592590321976589e-01,1.626404366514224709e-01,8.411182664273786358e-01,9.980151378338295576e-01
1.558999999999999719e+00,3.501733031356598080e-01,5.143107788152193605e-01,1.641374756795595524e-01,8.352123276938449026e-01,9.983629539352105731e-01
1.560000000000000053e+00,3.472547435163354512e-01,5.130891103039235679e-01,1.658343667875881167e-01,8.292831497307607824e-01,9.986303401584543105e-01
1.560999999999999943e+00,3.443632991108531716e-01,5.120928791356449405e-01,1.677295800247917690e-01,8.233350093790878788e-01,9.988307821287353283e-01
1.562000000000000055e+00,3.415011806024686458e-01,5.113091581333205626e-01,1.698079775308519168e-01,8.173763850519711882e-01,9.989773467159086540e-01
1.562999999999999945e+00,3.386706634292353524e-01,5.107156567429812499e-01,1.720449933137458975e-01,8.114159829412136427e-01,9.990818193260160296e-01
1.564000000000000057e+00,3.358719348149696304e-01,5.102805186144990790e-01,1.744085837995294486e-01,8.054581194152762302e-01,9.991548447907839803e-01
1.564999999999999947e+00,3.331065864017566658e-01,5.099670499979627181e-01,1.768604635962060523e-01,7.995100268745393146e-01,9.992055789924640941e-01
