lambda_um,eta,V
1.530000000000000027e+00,5.433420711098772005e-01,9.850838013875352628e-01
1.530999999999999917e+00,5.423535562315567882e-01,9.857516463357296477e-01
1.532000000000000028e+00,5.414653743451969259e-01,9.863389359354254315e-01
1.532999999999999918e+00,5.407026704174574538e-01,9.868335925049166457e-01
1.534000000000000030e+00,5.400818601894428195e-01,9.872296211603095450e-01
1.534999999999999920e+00,5.396090483447665287e-01,9.875272590847417042e-01
1.536000000000000032e+00,5.392798911560640063e-01,9.877324322108143040e-01
1.536999999999999700e+00,5.390801873876528427e-01,9.878560992561898901e-01
1.538000000000000034e+00,5.389856176037550739e-01,9.879144472418177614e-01
1.538999999999999924e+00,5.389638237228659978e-01,9.879278741459734947e-01
1.540000000000000036e+00,5.389742885260594418e-01,9.879214278419859996e-01
1.540999999999999925e+00,5.389723009610390969e-01,9.879226523091849677e-01
1.542000000000000259e+00,5.389088953508839319e-01,9.879616822405400400e-01
1.542999999999999927e+00,5.387362284357321007e-01,9.880676545700001201e-01
1.544000000000000039e+00,5.384080061045918297e-01,9.882678285574406640e-01
1.544999999999999929e+00,5.378836698739980493e-01,9.885841552780628705e-01
1.546000000000000041e+00,5.371314299753439103e-01,9.890305514694280875e-01
1.546999999999999931e+00,5.361302011825503921e-01,9.896111147474823122e-01
1.548000000000000043e+00,5.348737347407027665e-01,9.903176826630029073e-01
1.548999999999999932e+00,5.333693103851798734e-01,9.911314140629081670e-01
1.550000000000000044e+00,5.316407420382016635e-01,9.920228524024889971e-01
1.550999999999999934e+00,5.297247862674122620e-01,9.929563905393845591e-01
1.552000000000000046e+00,5.276710408713410905e-01,9.938932115188370275e-01
1.552999999999999936e+00,5.255374797600650405e-01,9.947962717335299132e-01
1.554000000000000048e+00,5.233864126033498376e-01,9.956341567872423193e-01
1.554999999999999716e+00,5.212800085887933088e-01,9.963838400253626215e-01
1.556000000000000050e+00,5.192756200193346938e-01,9.970320147969566893e-01
1.556999999999999940e+00,5.174225234525809958e-01,9.975745902897524831e-01
1.558000000000000052e+00,5.157592590321976589e-01,9.980151378338295576e-01
1.558999999999999719e+00,5.143107788152193605e-01,9.983629539352105731e-01
1.560000000000000053e+00,5.130891103039235679e-01,9.986303401584543105e-01
1.560999999999999943e+00,5.120928791356449405e-01,9.988307821287353283e-01
1.562000000000000055e+00,5.113091581333205626e-01,9.989773467159086540e-01
1.562999999999999945e+00,5.107156567429812499e-01,9.990818193260160296e-01
1.564000000000000057e+00,5.102805186144990790e-01,9.991548447907839803e-01
1.564999999999999947e+00,5.099670499979627181e-01,9.992055789924640941e-01
