lambda_um,eta_TE,eta_TM,delta_eta,V_TE,V_TM
1.530000000000000027e+00,4.624184343170764100e-01,5.732689636894932050e-01,1.108505293724167950e-01,9.887644823819604634e-01,9.579560957457241566e-01
1.530999999999999917e+00,4.629988076571631139e-01,5.751785206247261861e-01,1.121797129675630722e-01,9.891069483172663102e-01,9.557850972059753758e-01
1.532000000000000028e+00,4.635616984948567332e-01,5.770715939649615489e-01,1.135098954701048157e-01,9.894341168649404272e-01,9.535826374447126108e-01
1.532999999999999918e+00,4.641066392480896474e-01,5.789261602850258592e-01,1.148195210369362118e-01,9.897461746121533066e-01,9.513768500745274359e-01
1.534000000000000030e+00,4.646333083392417684e-01,5.807269947068600668e-01,1.160936863676182984e-01,9.900433919836715280e-01,9.491897102784196960e-01
1.534999999999999920e+00,4.651408145983388365e-01,5.824474462087640969e-01,1.173066316104252604e-01,9.903257208419252722e-01,9.470588363827288081e-01
1.536000000000000032e+00,4.656292303361365681e-01,5.840837189035247290e-01,1.184544885673881609e-01,9.905936502993337722e-01,9.449949833867108406e-01
1.536999999999999700e+00,4.660977338904672695e-01,5.856240859593205839e-01,1.195263520688533143e-01,9.908471705389196860e-01,9.430191441819568698e-01
1.538000000000000034e+00,4.665462427297803472e-01,5.870696611759106398e-01,1.205234184461302926e-01,9.910866705448548863e-01,9.411360139771195454e-01
1.538999999999999924e+00,4.669741362443697863e-01,5.884252347205474187e-01,1.214510984761776324e-01,9.913122418037917383e-01,9.393448778866437809e-01
1.540000000000000036e+00,4.673808902399137488e-01,5.896961173071337825e-01,1.223152270672200337e-01,9.915240233984168317e-01,9.376435800531117692e-01
1.540999999999999925e+00,4.677664753614441673e-01,5.908966975625058460e-01,1.231302222010616787e-01,9.917224008208562758e-01,9.360168904333477924e-01
1.542000000000000259e+00,4.681299927174653042e-01,5.920453318596518022e-01,1.239153391421864980e-01,9.919073000226340531e-01,9.344429425989819737e-01
1.542999999999999927e+00,4.684713703067837631e-01,5.931614016792787769e-01,1.246900313724950138e-01,9.920790594633766002e-01,9.328971799497567385e-01
1.544000000000000039e+00,4.687900025461701481e-01,5.942657763139402860e-01,1.254757737677701379e-01,9.922377322519129184e-01,9.313517507447010013e-01
1.544999999999999929e+00,4.690852709081774763e-01,5.953827263419843030e-01,1.262974554338068267e-01,9.923833537405520877e-01,9.297727559234547634e-01
1.546000000000000041e+00,4.693571668660503904e-01,5.965370315592419814e-01,1.271798646931915910e-01,9.925162427103436658e-01,9.281241702893582302e-01
1.546999999999999931e+00,4.696050408494730766e-01,5.977481237959194615e-01,1.281430829464463850e-01,9.926363832794521391e-01,9.263762446705338105e-01
1.548000000000000043e+00,4.698285848177567448e-01,5.990377215241814435e-01,1.292091367064246987e-01,9.927439069481034384e-01,9.244946073239792561e-01
1.548999999999999932e+00,4.700272795511877821e-01,6.004130337664030925e-01,1.303857542152153104e-01,9.928388216098044117e-01,9.224648594351370079e-01
1.550000000000000044e+00,4.702008947182215737e-01,6.018842058717416288e-01,1.316833111535200551e-01,9.929212499381828705e-01,9.202674875011987998e-01
1.550999999999999934e+00,4.703487669526292270e-01,6.034518330749947257e-01,1.331030661223654987e-01,9.929910838636706316e-01,9.178965240038904350e-01
1.552000000000000046e+00,4.704707973773961105e-01,6.051090181930947054e-01,1.346382208156985949e-01,9.930484557976509974e-01,9.153572546337201965e-01
1.552999999999999936e+00,4.705666434132841358e-01,6.068360533983359062e-01,1.362694099850517704e-01,9.930933536921443539e-01,9.126753362497926902e-01
1.554000000000000048e+00,4.706357179917233791e-01,6.086115255573911753e-01,1.379758075656677963e-01,9.931256215723677228e-01,9.098806505869463379e-01
1.554999999999999716e+00,4.706776054237810092e-01,6.104058248318545710e-01,1.397282194080735618e-01,9.931451526788627193e-01,9.070180258170096321e-01
1.556000000000000050e+00,4.706925454055823632e-01,6.121810014776902786e-01,1.414884560721079154e-01,9.931521121816484499e-01,9.041483911059816636e-01
1.556999999999999940e+00,4.706794839539528152e-01,6.139013565099947778e-01,1.432218725560419625e-01,9.931460279482399178e-01,9.013321260374816957e-01
1.558000000000000052e+00,4.706384242226965831e-01,6.155232810415318667e-01,1.448848568188352837e-01,9.931268842539452413e-01,8.986455287637626910e-01
1.558999999999999719e+00,4.705689625939569187e-01,6.170113406204839057e-01,1.464423780265269870e-01,9.930944383000713804e-01,8.961540599807352736e-01
1.560000000000000053e+00,4.704708336512818390e-01,6.183311117778191868e-01,1.478602781265373478e-01,9.930484728169332032e-01,8.939232380956984025e-01
1.560999999999999943e+00,4.703435894519159000e-01,6.194548279451822514e-01,1.491112384932663515e-01,9.929886445311141285e-01,8.920082847276573634e-01
1.562000000000000055e+00,4.701868034795027018e-01,6.203632743846135833e-01,1.501764709051108815e-01,9.929145773567709110e-01,8.904498110536006594e-01
1.562999999999999945e+00,4.700002040291610950e-01,6.210419456618632150e-01,1.510417416327021201e-01,9.928259242550542263e-01,8.892795102901246418e-01
1.564000000000000057e+00,4.697835406968802197e-01,6.214861236119465504e-01,1.517025829150663307e-01,9.927223038456032267e-01,8.885107964732984476e-01
1.564999999999999947e+00,4.695362394555843144e-01,6.217028637768473587e-01,1.521666243212630443e-01,9.926031327236722879e-01,8.881349021286887302e-01
