lambda_um,eta,V
1.530000000000000027e+00,4.624184343170764100e-01,9.887644823819604634e-01
1.530999999999999917e+00,4.629988076571631139e-01,9.891069483172663102e-01
1.532000000000000028e+00,4.635616984948567332e-01,9.894341168649404272e-01
1.532999999999999918e+00,4.641066392480896474e-01,9.897461746121533066e-01
1.534000000000000030e+00,4.646333083392417684e-01,9.900433919836715280e-01
1.534999999999999920e+00,4.651408145983388365e-01,9.903257208419252722e-01
1.536000000000000032e+00,4.656292303361365681e-01,9.905936502993337722e-01
1.536999999999999700e+00,4.660977338904672695e-01,9.908471705389196860e-01
1.538000000000000034e+00,4.665462427297803472e-01,9.910866705448548863e-01
1.538999999999999924e+00,4.669741362443697863e-01,9.913122418037917383e-01
1.540000000000000036e+00,4.673808902399137488e-01,9.915240233984168317e-01
1.540999999999999925e+00,4.677664753614441673e-01,9.917224008208562758e-01
1.542000000000000259e+00,4.681299927174653042e-01,9.919073000226340531e-01
1.542999999999999927e+00,4.684713703067837631e-01,9.920790594633766002e-01
1.544000000000000039e+00,4.687900025461701481e-01,9.922377322519129184e-01
1.544999999999999929e+00,4.690852709081774763e-01,9.923833537405520877e-01
1.546000000000000041e+00,4.693571668660503904e-01,9.925162427103436658e-01
1.546999999999999931e+00,4.696050408494730766e-01,9.926363832794521391e-01
1.548000000000000043e+00,4.698285848177567448e-01,9.927439069481034384e-01
1.548999999999999932e+00,4.700272795511877821e-01,9.928388216098044117e-01
1.550000000000000044e+00,4.702008947182215737e-01,9.929212499381828705e-01
1.550999999999999934e+00,4.703487669526292270e-01,9.929910838636706316e-01
1.552000000000000046e+00,4.704707973773961105e-01,9.930484557976509974e-01
1.552999999999999936e+00,4.705666434132841358e-01,9.930933536921443539e-01
1.554000000000000048e+00,4.706357179917233791e-01,9.931256215723677228e-01
1.554999999999999716e+00,4.706776054237810092e-01,9.931451526788627193e-01
1.556000000000000050e+00,4.706925454055823632e-01,9.931521121816484499e-01
1.556999999999999940e+00,4.706794839539528152e-01,9.931460279482399178e-01
1.558000000000000052e+00,4.706384242226965831e-01,9.931268842539452413e-01
1.558999999999999719e+00,4.705689625939569187e-01,9.930944383000713804e-01
1.560000000000000053e+00,4.704708336512818390e-01,9.930484728169332032e-01
1.560999999999999943e+00,4.703435894519159000e-01,9.929886445311141285e-01
1.562000000000000055e+00,4.701868034795027018e-01,9.929145773567709110e-01
1.562999999999999945e+00,4.700002040291610950e-01,9.928259242550542263e-01
1.564000000000000057e+00,4.697835406968802197e-01,9.927223038456032267e-01
1.564999999999999947e+00,4.695362394555843144e-01,9.926031327236722879e-01
