lambda_um,eta_TE,eta_TM,delta_eta,V_TE,V_TM,delta_phi_TE,delta_phi_TM,delta_delta_phi
1.530000000000000027e+00,3.622597651366162852e-01,4.923290789814366297e-01,1.300693138448203445e-01,8.589269809536898004e-01,9.995293665398095051e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
1.530999999999999917e+00,3.629150005088546682e-01,4.939772378318746382e-01,1.310622373230199700e-01,8.601723539755264936e-01,9.997098527857400940e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
1.532000000000000028e+00,3.636285160540690953e-01,4.958247430784913923e-01,1.321962270244222970e-01,8.615236279062443714e-01,9.998605475612845073e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
1.532999999999999918e+00,3.643993530118970758e-01,4.978971976898736163e-01,1.334978446779765404e-01,8.629777241194834803e-01,9.999646264052127753e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
1.534000000000000030e+00,3.652258896857784043e-01,5.002118729090994087e-01,1.349859832233210044e-01,8.645302375265524475e-01,9.999996408790275959e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
1.534999999999999920e+00,3.661058193107094572e-01,5.027737072569349319e-01,1.366678879462254748e-01,8.661754282255369475e-01,9.999384542784187646e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
1.536000000000000032e+00,3.670368411432670674e-01,5.055709536856179964e-01,1.385341125423509290e-01,8.679075437567236317e-01,9.997517466189576041e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
1.536999999999999700e+00,3.680171982679477649e-01,5.085779686697504687e-01,1.405607704018027038e-01,8.697218223677438687e-01,9.994115208328350208e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
1.538000000000000034e+00,3.690448258277479465e-01,5.117522535061455047e-01,1.427074276783975582e-01,8.716129118694013744e-01,9.988956863913572848e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
1.538999999999999924e+00,3.701171059683439624e-01,5.150325699560344139e-01,1.449154639876904516e-01,8.735744475876617843e-01,9.981938073644852638e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
1.540000000000000036e+00,3.712325697214602371e-01,5.183468392027730243e-01,1.471142694813127871e-01,8.756021777835574227e-01,9.973107687810678357e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
1.540999999999999925e+00,3.723887766668028121e-01,5.216147690446790719e-01,1.492259923778762598e-01,8.776900892258115983e-01,9.962693858186926210e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
1.542000000000000259e+00,3.735833824668065017e-01,5.247529709116156571e-01,1.511695884448091554e-01,8.798323827362651839e-01,9.951103072944295080e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
1.542999999999999927e+00,3.748148225894105123e-01,5.276896881579768994e-01,1.528748655685663871e-01,8.820246902565804792e-01,9.938850032902101228e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
1.544000000000000039e+00,3.760803960506386434e-01,5.303580791958734109e-01,1.542776831452347674e-01,8.842606589354031765e-01,9.926541762461564833e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
1.544999999999999929e+00,3.773780922639319857e-01,5.327136016237643545e-01,1.553355093598323688e-01,8.865352272628093111e-01,9.914750550436206566e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
1.546000000000000041e+00,3.787058640178166957e-01,5.347369923724361040e-01,1.560311283546194083e-01,8.888433273844629223e-01,9.903930998834203914e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
1.546999999999999931e+00,3.800615963801752817e-01,5.364334556224741313e-01,1.563718592422988496e-01,8.911798426038712861e-01,9.894369121227202246e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
1.548000000000000043e+00,3.814431860371518268e-01,5.378328998768319158e-01,1.563897138396800890e-01,8.935397556531783358e-01,9.886145587131603962e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
1.548999999999999932e+00,3.828483762431321713e-01,5.389910402053722516e-01,1.561426639622400803e-01,8.959178779718351970e-01,9.879111053147986432e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
