lambda_um,eta,V,delta_phi
1.530000000000000027e+00,3.622597651366162852e-01,8.589269809536898004e-01,-1.651872324485825327e+00
1.530999999999999917e+00,3.629150005088546682e-01,8.601723539755264936e-01,-1.651872324485825327e+00
1.532000000000000028e+00,3.636285160540690953e-01,8.615236279062443714e-01,-1.651872324485825327e+00
1.532999999999999918e+00,3.643993530118970758e-01,8.629777241194834803e-01,-1.651872324485825327e+00
1.534000000000000030e+00,3.652258896857784043e-01,8.645302375265524475e-01,-1.651872324485825327e+00
1.534999999999999920e+00,3.661058193107094572e-01,8.661754282255369475e-01,-1.651872324485825327e+00
1.536000000000000032e+00,3.670368411432670674e-01,8.679075437567236317e-01,-1.651872324485825327e+00
1.536999999999999700e+00,3.680171982679477649e-01,8.697218223677438687e-01,-1.651872324485825327e+00
1.538000000000000034e+00,3.690448258277479465e-01,8.716129118694013744e-01,-1.651872324485825327e+00
1.538999999999999924e+00,3.701171059683439624e-01,8.735744475876617843e-01,-1.651872324485825327e+00
1.540000000000000036e+00,3.712325697214602371e-01,8.756021777835574227e-01,-1.651872324485825327e+00
1.540999999999999925e+00,3.723887766668028121e-01,8.776900892258115983e-01,-1.651872324485825327e+00
1.542000000000000259e+00,3.735833824668065017e-01,8.798323827362651839e-01,-1.651872324485825327e+00
1.542999999999999927e+00,3.748148225894105123e-01,8.820246902565804792e-01,-1.651872324485825327e+00
1.544000000000000039e+00,3.760803960506386434e-01,8.842606589354031765e-01,-1.651872324485825327e+00
1.544999999999999929e+00,3.773780922639319857e-01,8.865352272628093111e-01,-1.651872324485825327e+00
1.546000000000000041e+00,3.787058640178166957e-01,8.888433273844629223e-01,-1.651872324485825327e+00
1.546999999999999931e+00,3.800615963801752817e-01,8.911798426038712861e-01,-1.651872324485825327e+00
1.548000000000000043e+00,3.814431860371518268e-01,8.935397556531783358e-01,-1.651872324485825327e+00
1.548999999999999932e+00,3.828483762431321713e-01,8.959178779718351970e-01,-1.651872324485825327e+00
1.550000000000000044e+00,3.842753606529004662e-01,8.983098774295710243e-01,-1.651872324485825327e+00
1.550999999999999934e+00,3.857218752395517036e-01,9.007107494296834327e-01,-1.651872324485825327e+00
1.552000000000000046e+00,3.871861699437799120e-01,9.031164503273769739e-01,-1.651872324485825327e+00
1.552999999999999936e+00,3.886663093813430558e-01,9.055227297781375251e-01,-1.651872324485825327e+00
1.554000000000000048e+00,3.901599535989121459e-01,9.079248022202809354e-01,-1.651872324485825327e+00
1.554999999999999716e+00,3.916659197304971918e-01,9.103198588742952291e-01,-1.651872324485825327e+00
1.556000000000000050e+00,3.931816420189795380e-01,9.127029987522522481e-01,-1.651872324485825327e+00
1.556999999999999940e+00,3.947059333847320328e-01,9.150716256348965238e-01,-1.651872324485825327e+00
1.558000000000000052e+00,3.962367162746584515e-01,9.174218630367744209e-01,-1.651872324485825327e+00
1.558999999999999719e+00,3.977721751249100324e-01,9.197503783020006818e-01,-1.651872324485825327e+00
1.560000000000000053e+00,3.993107249315096530e-01,9.220543154145542930e-01,-1.651872324485825327e+00
1.560999999999999943e+00,4.008507025102315824e-01,9.243308230161396688e-01,-1.651872324485825327e+00
1.562000000000000055e+00,4.023910327368916962e-01,9.265780304201592932e-01,-1.651872324485825327e+00
1.562999999999999945e+00,4.039291246986816408e-01,9.287919850555670376e-01,-1.651872324485825327e+00
1.564000000000000057e+00,4.054640568105938314e-01,9.309712940450100005e-01,-1.651872324485825327e+00
1.564999999999999947e+00,4.069945119241432652e-01,9.331140915043036888e-01,-1.651872324485825327e+00
