lambda_um,eta,V,delta_phi
1.530000000000000027e+00,4.923290789814366297e-01,9.995293665398095051e-01,1.534310832455608065e+00
1.530999999999999917e+00,4.939772378318746382e-01,9.997098527857400940e-01,1.534310832455608065e+00
1.532000000000000028e+00,4.958247430784913923e-01,9.998605475612845073e-01,1.534310832455608065e+00
1.532999999999999918e+00,4.978971976898736163e-01,9.999646264052127753e-01,1.534310832455608065e+00
1.534000000000000030e+00,5.002118729090994087e-01,9.999996408790275959e-01,1.534310832455608065e+00
1.534999999999999920e+00,5.027737072569349319e-01,9.999384542784187646e-01,1.534310832455608065e+00
1.536000000000000032e+00,5.055709536856179964e-01,9.997517466189576041e-01,1.534310832455608065e+00
1.536999999999999700e+00,5.085779686697504687e-01,9.994115208328350208e-01,1.534310832455608065e+00
1.538000000000000034e+00,5.117522535061455047e-01,9.988956863913572848e-01,1.534310832455608065e+00
1.538999999999999924e+00,5.150325699560344139e-01,9.981938073644852638e-01,1.534310832455608065e+00
1.540000000000000036e+00,5.183468392027730243e-01,9.973107687810678357e-01,1.534310832455608065e+00
1.540999999999999925e+00,5.216147690446790719e-01,9.962693858186926210e-01,1.534310832455608065e+00
1.542000000000000259e+00,5.247529709116156571e-01,9.951103072944295080e-01,1.534310832455608065e+00
1.542999999999999927e+00,5.276896881579768994e-01,9.938850032902101228e-01,1.534310832455608065e+00
1.544000000000000039e+00,5.303580791958734109e-01,9.926541762461564833e-01,1.534310832455608065e+00
1.544999999999999929e+00,5.327136016237643545e-01,9.914750550436206566e-01,1.534310832455608065e+00
1.546000000000000041e+00,5.347369923724361040e-01,9.903930998834203914e-01,1.534310832455608065e+00
1.546999999999999931e+00,5.364334556224741313e-01,9.894369121227202246e-01,1.534310832455608065e+00
1.548000000000000043e+00,5.378328998768319158e-01,9.886145587131603962e-01,1.534310832455608065e+00
1.548999999999999932e+00,5.389910402053722516e-01,9.879111053147986432e-01,1.534310832455608065e+00
1.550000000000000044e+00,5.399843014380832917e-01,9.872913168501790127e-01,1.534310832455608065e+00
1.550999999999999934e+00,5.409123285964224648e-01,9.866985080904694394e-01,1.534310832455608065e+00
1.552000000000000046e+00,5.418850955450968954e-01,9.860629129103560819e-01,1.534310832455608065e+00
1.552999999999999936e+00,5.430280628849548652e-01,9.852975676031464625e-01,1.534310832455608065e+00
1.554000000000000048e+00,5.444672463225662673e-01,9.843054456647877259e-01,1.534310832455608065e+00
1.554999999999999716e+00,5.463402480098609182e-01,9.829669595853008923e-01,1.534310832455608065e+00
1.556000000000000050e+00,5.487704353358692222e-01,9.811508916878417530e-01,1.534310832455608065e+00
1.556999999999999940e+00,5.518768710531949395e-01,9.786996171894583041e-01,1.534310832455608065e+00
1.558000000000000052e+00,5.557543141386861452e-01,9.754370713723323760e-01,1.534310832455608065e+00
1.558999999999999719e+00,5.604679165629389281e-01,9.711706908930667348e-01,1.534310832455608065e+00
1.560000000000000053e+00,5.660382824666996271e-01,9.657097289880468560e-01,1.534310832455608065e+00
1.560999999999999943e+00,5.724338878065015068e-01,9.588894292586613854e-01,1.534310832455608065e+00
1.562000000000000055e+00,5.795598968663168149e-01,9.506122366368502385e-01,1.534310832455608065e+00
1.562999999999999945e+00,5.872466053995353263e-01,9.409035989344795015e-01,1.534310832455608065e+00
1.564000000000000057e+00,5.952609397497594657e-01,9.299456989741897717e-01,1.534310832455608065e+00
1.564999999999999947e+00,6.033117063535540225e-01,9.181096927479610592e-01,1.534310832455608065e+00
