lambda_um,eta,V
1.500000000000000000e+00,3.755479293406558394e-01,1.766644076629630078e+00
1.503333333333333410e+00,3.861295328827515916e-01,1.802765993297784863e+00
1.506666666666666599e+00,3.966229503085654251e-01,1.836020637600975336e+00
1.510000000000000009e+00,4.070134416924509613e-01,1.866280811454739341e+00
1.513333333333333419e+00,4.172913686306816694e-01,1.893463656944044615e+00
1.516666666666666607e+00,4.274449182861239094e-01,1.917509167991093832e+00
1.520000000000000018e+00,4.374605162103919476e-01,1.938384959270543773e+00
1.523333333333333428e+00,4.473310236909859294e-01,1.956102750531925505e+00
1.526666666666666616e+00,4.570446980114795665e-01,1.970693770985223026e+00
1.530000000000000027e+00,4.665947922871787057e-01,1.982224815438283994e+00
1.533333333333333437e+00,4.759710916277472004e-01,1.990783071989658204e+00
1.536666666666666625e+00,4.851699575726420854e-01,1.996484210378317581e+00
1.540000000000000036e+00,4.941840420345481877e-01,1.999458867343148594e+00
1.543333333333333446e+00,5.030071857489307741e-01,1.999855314575599952e+00
1.546666666666666634e+00,5.116354865730522450e-01,1.997835019654873312e+00
1.550000000000000044e+00,5.200658004548771585e-01,1.993568177176288980e+00
1.553333333333333455e+00,5.282938345511218881e-01,1.987232227328069145e+00
1.556666666666666643e+00,5.363171665996704363e-01,1.979007764273954084e+00
1.560000000000000053e+00,5.441332478942205730e-01,1.969077023003320548e+00
1.563333333333333686e+00,5.517398959191343044e-01,1.957621522316342899e+00
1.566666666666666652e+00,5.591343715991692331e-01,1.944821822051391313e+00
1.570000000000000284e+00,5.663186648509282994e-01,1.930845958699558107e+00
1.573333333333333472e+00,5.732884325135098047e-01,1.915868438424890519e+00
1.576666666666666883e+00,5.800479122494139883e-01,1.900039366231353943e+00
1.580000000000000071e+00,5.865940486251361996e-01,1.883517326814710957e+00
1.583333333333333481e+00,5.929279805613542065e-01,1.866443610212402238e+00
1.586666666666666448e+00,5.990543010745188468e-01,1.848940559630544156e+00
1.590000000000000080e+00,6.049714906249537005e-01,1.831138526167150449e+00
1.593333333333333490e+00,6.106839457102991586e-01,1.813141778901895762e+00
1.596666666666666679e+00,6.161943149899914429e-01,1.795050299662725557e+00
1.600000000000000089e+00,6.215027687924821187e-01,1.776963894086641460e+00
